date,country,D,H,I,M,S
2021-04-24,Afghanistan,2,2,0,28,5
2021-04-24,Japan,10,0,0,103,8
2021-04-24,Sweden,1,0,0,8,0
2021-04-25,Afghanistan,2,2,0,29,4
2021-04-25,Japan,10,0,0,104,7
2021-04-25,Sweden,1,0,0,8,0
2021-04-26,Afghanistan,2,2,0,30,3
2021-04-26,Japan,10,0,0,105,6
2021-04-26,Sweden,1,0,0,8,0
2021-04-27,Afghanistan,2,2,0,31,2
2021-04-27,Japan,10,0,0,106,5
2021-04-27,Sweden,1,0,0,8,0
2021-04-28,Afghanistan,2,2,0,32,1
2021-04-28,Japan,10,0,0,107,4
2021-04-28,Sweden,1,0,0,8,0
2021-04-29,Afghanistan,2,2,0,32,1
2021-04-29,Japan,10,0,0,107,4
2021-04-29,Sweden,1,0,0,8,0
2021-04-30,Afghanistan,2,0,2,32,1
2021-04-30,Japan,10,0,0,107,4
2021-04-30,Sweden,1,0,0,8,0
2021-05-01,Afghanistan,2,0,2,32,1
2021-05-01,Japan,10,0,0,107,4
2021-05-01,Sweden,1,0,0,8,0
2021-05-02,Afghanistan,2,0,2,33,0
2021-05-02,Japan,10,0,0,108,3
2021-05-02,Sweden,1,0,0,8,0
2021-05-03,Afghanistan,2,0,2,33,0
2021-05-03,Japan,10,0,0,109,2
2021-05-03,Sweden,1,0,0,8,0
2021-05-04,Afghanistan,2,0,0,34,1
2021-05-04,Japan,10,0,0,109,2
2021-05-04,Sweden,1,0,0,8,0
2021-05-05,Afghanistan,2,0,0,34,1
2021-05-05,Japan,10,0,0,110,1
2021-05-05,Sweden,1,0,0,8,0
2021-05-06,Afghanistan,2,0,0,34,1
2021-05-06,Japan,10,0,0,110,1
2021-05-06,Sweden,1,0,0,8,0
2021-05-07,Afghanistan,2,0,0,34,1
2021-05-07,Japan,10,0,0,110,1
2021-05-07,Sweden,1,0,0,8,0
2021-05-08,Afghanistan,2,0,0,34,1
2021-05-08,Japan,10,0,0,111,0
2021-05-08,Sweden,1,0,0,8,0
2021-05-09,Afghanistan,2,0,0,34,1
2021-05-09,Japan,10,0,0,111,0
2021-05-09,Sweden,1,0,0,8,0
2021-05-10,Afghanistan,2,0,0,34,1
2021-05-10,Japan,10,0,0,111,0
2021-05-10,Sweden,1,0,0,8,0
2021-05-11,Afghanistan,2,0,0,34,1
2021-05-11,Japan,10,0,0,111,0
2021-05-11,Sweden,1,0,0,8,0
2021-05-12,Afghanistan,2,0,0,34,1
2021-05-12,Japan,10,0,0,111,0
2021-05-12,Sweden,1,0,0,8,0
2021-05-13,Afghanistan,2,0,0,34,1
2021-05-13,Japan,10,0,0,111,0
2021-05-13,Sweden,1,0,0,8,0
2021-05-14,Afghanistan,2,0,0,34,1
2021-05-14,Japan,10,0,0,111,0
2021-05-14,Sweden,1,0,0,8,0
2021-05-15,Afghanistan,2,0,0,34,1
2021-05-15,Japan,10,0,0,111,0
2021-05-15,Sweden,1,0,0,8,0
2021-05-16,Afghanistan,2,0,0,34,1
2021-05-16,Japan,10,0,0,111,0
2021-05-16,Sweden,1,0,0,8,0
2021-05-17,Afghanistan,2,0,0,34,1
2021-05-17,Japan,10,0,0,111,0
2021-05-17,Sweden,1,0,0,8,0
2021-05-18,Afghanistan,2,0,0,35,0
2021-05-18,Japan,10,0,0,111,0
2021-05-18,Sweden,1,0,0,8,0
2021-05-19,Afghanistan,2,0,0,35,0
2021-05-19,Japan,10,0,0,111,0
2021-05-19,Sweden,1,0,0,8,0
2021-05-20,Afghanistan,2,0,0,35,0
2021-05-20,Japan,10,0,0,111,0
2021-05-20,Sweden,1,0,0,8,0
2021-05-21,Afghanistan,2,0,0,35,0
2021-05-21,Japan,10,0,0,111,0
2021-05-21,Sweden,1,0,0,8,0
2021-05-22,Afghanistan,2,0,0,35,0
2021-05-22,Japan,10,0,0,111,0
2021-05-22,Sweden,1,0,0,8,0
2021-05-23,Afghanistan,2,0,0,35,0
2021-05-23,Japan,10,0,0,111,0
2021-05-23,Sweden,1,0,0,8,0
2021-05-24,Afghanistan,2,0,0,35,0
2021-05-24,Japan,10,0,0,111,0
2021-05-24,Sweden,1,0,0,8,0
2021-05-25,Afghanistan,2,0,0,35,0
2021-05-25,Japan,10,0,0,111,0
2021-05-25,Sweden,1,0,0,8,0
2021-05-26,Afghanistan,2,0,0,35,0
2021-05-26,Japan,10,0,0,111,0
2021-05-26,Sweden,1,0,0,8,0
2021-05-27,Afghanistan,2,0,0,35,0
2021-05-27,Japan,10,0,0,111,0
2021-05-27,Sweden,1,0,0,8,0
2021-05-28,Afghanistan,2,0,0,35,0
2021-05-28,Japan,10,0,0,111,0
2021-05-28,Sweden,1,0,0,8,0
2021-05-29,Afghanistan,2,0,0,35,0
2021-05-29,Japan,10,0,0,111,0
2021-05-29,Sweden,1,0,0,8,0
2021-05-30,Afghanistan,2,0,0,35,0
2021-05-30,Japan,10,0,0,111,0
2021-05-30,Sweden,1,0,0,8,0
2021-05-31,Afghanistan,2,0,0,35,0
2021-05-31,Japan,10,0,0,111,0
2021-05-31,Sweden,1,0,0,8,0
2021-06-01,Afghanistan,2,0,0,35,0
2021-06-01,Japan,10,0,0,111,0
2021-06-01,Sweden,1,0,0,8,0
2021-06-02,Afghanistan,2,0,0,35,0
2021-06-02,Japan,10,0,0,111,0
2021-06-02,Sweden,1,0,0,8,0
2021-06-03,Afghanistan,2,0,0,35,0
2021-06-03,Japan,10,0,0,111,0
2021-06-03,Sweden,1,0,0,8,0
2021-06-04,Afghanistan,2,0,0,35,0
2021-06-04,Japan,10,0,0,111,0
2021-06-04,Sweden,1,0,0,8,0
2021-06-05,Afghanistan,2,0,0,35,0
2021-06-05,Japan,10,0,0,111,0
2021-06-05,Sweden,1,0,0,8,0
2021-06-06,Afghanistan,2,0,0,35,0
2021-06-06,Japan,10,0,0,111,0
2021-06-06,Sweden,1,0,0,8,0
2021-06-07,Afghanistan,2,0,0,35,0
2021-06-07,Japan,10,0,0,111,0
2021-06-07,Sweden,1,0,0,8,0
2021-06-08,Afghanistan,2,0,0,35,0
2021-06-08,Japan,10,0,0,111,0
2021-06-08,Sweden,1,0,0,8,0
2021-06-09,Afghanistan,2,0,0,35,0
2021-06-09,Japan,10,0,0,111,0
2021-06-09,Sweden,1,0,0,8,0
2021-06-10,Afghanistan,2,0,0,35,0
2021-06-10,Japan,10,0,0,111,0
2021-06-10,Sweden,1,0,0,8,0
2021-06-11,Afghanistan,2,0,0,35,0
2021-06-11,Japan,10,0,0,111,0
2021-06-11,Sweden,1,0,0,8,0
2021-06-12,Afghanistan,2,0,0,35,0
2021-06-12,Japan,10,0,0,111,0
2021-06-12,Sweden,1,0,0,8,0
2021-06-13,Afghanistan,2,0,0,35,0
2021-06-13,Japan,10,0,0,111,0
2021-06-13,Sweden,1,0,0,8,0
2021-06-14,Afghanistan,2,0,0,35,0
2021-06-14,Japan,10,0,0,111,0
2021-06-14,Sweden,1,0,0,8,0
2021-06-15,Afghanistan,2,0,0,35,0
2021-06-15,Japan,10,0,0,111,0
2021-06-15,Sweden,1,0,0,8,0
2021-06-16,Afghanistan,2,0,0,35,0
2021-06-16,Japan,10,0,0,111,0
2021-06-16,Sweden,1,0,0,8,0
2021-06-17,Afghanistan,2,0,0,35,0
2021-06-17,Japan,10,0,0,111,0
2021-06-17,Sweden,1,0,0,8,0
2021-06-18,Afghanistan,2,0,0,35,0
2021-06-18,Japan,10,0,0,111,0
2021-06-18,Sweden,1,0,0,8,0
2021-06-19,Afghanistan,2,0,0,35,0
2021-06-19,Japan,10,0,0,111,0
2021-06-19,Sweden,1,0,0,8,0
2021-06-20,Afghanistan,2,0,0,35,0
2021-06-20,Japan,10,0,0,111,0
2021-06-20,Sweden,1,0,0,8,0
2021-06-21,Afghanistan,2,0,0,35,0
2021-06-21,Japan,10,0,0,111,0
2021-06-21,Sweden,1,0,0,8,0
2021-06-22,Afghanistan,2,0,0,35,0
2021-06-22,Japan,10,0,0,111,0
2021-06-22,Sweden,1,0,0,8,0
2021-06-23,Afghanistan,2,0,0,35,0
2021-06-23,Japan,10,0,0,111,0
2021-06-23,Sweden,1,0,0,8,0
2021-06-24,Afghanistan,2,0,0,35,0
2021-06-24,Japan,10,0,0,111,0
2021-06-24,Sweden,1,0,0,8,0
2021-06-25,Afghanistan,2,0,0,35,0
2021-06-25,Japan,10,0,0,111,0
2021-06-25,Sweden,1,0,0,8,0
2021-06-26,Afghanistan,2,0,0,35,0
2021-06-26,Japan,10,0,0,111,0
2021-06-26,Sweden,1,0,0,8,0
2021-06-27,Afghanistan,2,0,0,35,0
2021-06-27,Japan,10,0,0,111,0
2021-06-27,Sweden,1,0,0,8,0
2021-06-28,Afghanistan,2,0,0,35,0
2021-06-28,Japan,10,0,0,111,0
2021-06-28,Sweden,1,0,0,8,0
2021-06-29,Afghanistan,2,0,0,35,0
2021-06-29,Japan,10,0,0,111,0
2021-06-29,Sweden,1,0,0,8,0
2021-06-30,Afghanistan,2,0,0,35,0
2021-06-30,Japan,10,0,0,111,0
2021-06-30,Sweden,1,0,0,8,0
2021-07-01,Afghanistan,2,0,0,35,0
2021-07-01,Japan,10,0,0,111,0
2021-07-01,Sweden,1,0,0,8,0
2021-07-02,Afghanistan,2,0,0,35,0
2021-07-02,Japan,10,0,0,111,0
2021-07-02,Sweden,1,0,0,8,0
2021-07-03,Afghanistan,2,0,0,35,0
2021-07-03,Japan,10,0,0,111,0
2021-07-03,Sweden,1,0,0,8,0
2021-07-04,Afghanistan,2,0,0,35,0
2021-07-04,Japan,10,0,0,111,0
2021-07-04,Sweden,1,0,0,8,0
2021-07-05,Afghanistan,2,0,0,35,0
2021-07-05,Japan,10,0,0,111,0
2021-07-05,Sweden,1,0,0,8,0
2021-07-06,Afghanistan,2,0,0,35,0
2021-07-06,Japan,10,0,0,111,0
2021-07-06,Sweden,1,0,0,8,0
2021-07-07,Afghanistan,2,0,0,35,0
2021-07-07,Japan,10,0,0,111,0
2021-07-07,Sweden,1,0,0,8,0
2021-07-08,Afghanistan,2,0,0,35,0
2021-07-08,Japan,10,0,0,111,0
2021-07-08,Sweden,1,0,0,8,0
2021-07-09,Afghanistan,2,0,0,35,0
2021-07-09,Japan,10,0,0,111,0
2021-07-09,Sweden,1,0,0,8,0
2021-07-10,Afghanistan,2,0,0,35,0
2021-07-10,Japan,10,0,0,111,0
2021-07-10,Sweden,1,0,0,8,0
2021-07-11,Afghanistan,2,0,0,35,0
2021-07-11,Japan,10,0,0,111,0
2021-07-11,Sweden,1,0,0,8,0
2021-07-12,Afghanistan,2,0,0,35,0
2021-07-12,Japan,10,0,0,111,0
2021-07-12,Sweden,1,0,0,8,0
2021-07-13,Afghanistan,2,0,0,35,0
2021-07-13,Japan,10,0,0,111,0
2021-07-13,Sweden,1,0,0,8,0
2021-07-14,Afghanistan,2,0,0,35,0
2021-07-14,Japan,10,0,0,111,0
2021-07-14,Sweden,1,0,0,8,0
2021-07-15,Afghanistan,2,0,0,35,0
2021-07-15,Japan,10,0,0,111,0
2021-07-15,Sweden,1,0,0,8,0
2021-07-16,Afghanistan,2,0,0,35,0
2021-07-16,Japan,10,0,0,111,0
2021-07-16,Sweden,1,0,0,8,0
2021-07-17,Afghanistan,2,0,0,35,0
2021-07-17,Japan,10,0,0,111,0
2021-07-17,Sweden,1,0,0,8,0
2021-07-18,Afghanistan,2,0,0,35,0
2021-07-18,Japan,10,0,0,111,0
2021-07-18,Sweden,1,0,0,8,0
2021-07-19,Afghanistan,2,0,0,35,0
2021-07-19,Japan,10,0,0,111,0
2021-07-19,Sweden,1,0,0,8,0
2021-07-20,Afghanistan,2,0,0,35,0
2021-07-20,Japan,10,0,0,111,0
2021-07-20,Sweden,1,0,0,8,0
2021-07-21,Afghanistan,2,0,0,35,0
2021-07-21,Japan,10,0,0,111,0
2021-07-21,Sweden,1,0,0,8,0
2021-07-22,Afghanistan,2,0,0,35,0
2021-07-22,Japan,10,0,0,111,0
2021-07-22,Sweden,1,0,0,8,0
2021-07-23,Afghanistan,2,0,0,35,0
2021-07-23,Japan,10,0,0,111,0
2021-07-23,Sweden,1,0,0,8,0
2021-07-24,Afghanistan,2,0,0,35,0
2021-07-24,Japan,10,0,0,111,0
2021-07-24,Sweden,1,0,0,8,0
2021-07-25,Afghanistan,2,0,0,35,0
2021-07-25,Japan,10,0,0,111,0
2021-07-25,Sweden,1,0,0,8,0
2021-07-26,Afghanistan,2,0,0,35,0
2021-07-26,Japan,10,0,0,111,0
2021-07-26,Sweden,1,0,0,8,0
2021-07-27,Afghanistan,2,0,0,35,0
2021-07-27,Japan,10,0,0,111,0
2021-07-27,Sweden,1,0,0,8,0
2021-07-28,Afghanistan,2,0,0,35,0
2021-07-28,Japan,10,0,0,111,0
2021-07-28,Sweden,1,0,0,8,0
2021-07-29,Afghanistan,2,0,0,35,0
2021-07-29,Japan,10,0,0,111,0
2021-07-29,Sweden,1,0,0,8,0
2021-07-30,Afghanistan,2,0,0,35,0
2021-07-30,Japan,10,0,0,111,0
2021-07-30,Sweden,1,0,0,8,0
2021-07-31,Afghanistan,2,0,0,35,0
2021-07-31,Japan,10,0,0,111,0
2021-07-31,Sweden,1,0,0,8,0
2021-08-01,Afghanistan,2,0,0,35,0
2021-08-01,Japan,10,0,0,111,0
2021-08-01,Sweden,1,0,0,8,0
2021-08-02,Afghanistan,2,0,0,35,0
2021-08-02,Japan,10,0,0,111,0
2021-08-02,Sweden,1,0,0,8,0
2021-08-03,Afghanistan,2,5,0,30,0
2021-08-03,Japan,10,21,0,90,0
2021-08-03,Sweden,1,0,0,8,0
2021-08-04,Afghanistan,2,8,0,27,0
2021-08-04,Japan,10,31,6,74,0
2021-08-04,Sweden,1,1,0,7,0
2021-08-05,Afghanistan,2,9,2,24,0
2021-08-05,Japan,10,36,12,63,0
2021-08-05,Sweden,1,2,0,6,0
2021-08-06,Afghanistan,2,10,3,22,0
2021-08-06,Japan,10,33,20,58,0
2021-08-06,Sweden,1,5,1,2,0
2021-08-07,Afghanistan,2,4,9,22,0
2021-08-07,Japan,10,28,33,50,0
2021-08-07,Sweden,1,2,4,2,0
2021-08-08,Afghanistan,2,4,9,22,0
2021-08-08,Japan,10,25,34,50,2
2021-08-08,Sweden,1,1,5,2,0
2021-08-09,Afghanistan,2,4,8,21,2
2021-08-09,Japan,10,20,33,53,5
2021-08-09,Sweden,1,0,6,2,0
2021-08-10,Afghanistan,2,3,8,21,3
2021-08-10,Japan,10,17,29,55,10
2021-08-10,Sweden,1,0,5,3,0
2021-08-11,Afghanistan,2,4,2,25,4
2021-08-11,Japan,10,17,19,59,16
2021-08-11,Sweden,1,0,2,4,2
2021-08-12,Afghanistan,2,2,4,25,4
2021-08-12,Japan,10,10,19,62,20
2021-08-12,Sweden,1,0,1,4,3
2021-08-13,Afghanistan,2,1,4,25,5
2021-08-13,Japan,10,9,15,63,24
2021-08-13,Sweden,1,0,0,5,3
2021-08-14,Afghanistan,2,2,3,25,5
2021-08-14,Japan,10,9,13,61,28
2021-08-14,Sweden,1,1,0,4,3
2021-08-15,Afghanistan,2,1,4,25,5
2021-08-15,Japan,10,7,12,62,30
2021-08-15,Sweden,1,1,0,4,3
2021-08-16,Afghanistan,2,2,2,25,6
2021-08-16,Japan,10,6,6,65,34
2021-08-16,Sweden,1,1,0,4,3
2021-08-17,Afghanistan,2,6,1,21,7
2021-08-17,Japan,10,14,6,56,35
2021-08-17,Sweden,1,1,0,4,3
2021-08-18,Afghanistan,2,9,1,18,7
2021-08-18,Japan,10,20,8,46,37
2021-08-18,Sweden,1,1,0,4,3
2021-08-19,Afghanistan,2,10,1,16,8
2021-08-19,Japan,10,20,13,39,39
2021-08-19,Sweden,1,1,0,4,3
2021-08-20,Afghanistan,2,11,1,15,8
2021-08-20,Japan,10,19,17,35,40
2021-08-20,Sweden,1,2,0,3,3
2021-08-21,Afghanistan,2,7,6,14,8
2021-08-21,Japan,10,15,21,35,40
2021-08-21,Sweden,1,0,2,3,3
2021-08-22,Afghanistan,2,3,10,14,8
2021-08-22,Japan,11,12,21,36,41
2021-08-22,Sweden,1,0,2,3,3
2021-08-23,Afghanistan,2,3,10,16,6
2021-08-23,Japan,11,9,18,40,43
2021-08-23,Sweden,1,0,2,3,3
2021-08-24,Afghanistan,2,2,12,16,5
2021-08-24,Japan,12,7,16,46,40
2021-08-24,Sweden,1,0,2,3,3
2021-08-25,Afghanistan,2,3,7,19,6
2021-08-25,Japan,13,5,14,52,37
2021-08-25,Sweden,1,0,0,6,2
2021-08-26,Afghanistan,2,4,3,19,9
2021-08-26,Japan,13,5,11,56,36
2021-08-26,Sweden,1,0,0,7,1
2021-08-27,Afghanistan,2,3,3,20,9
2021-08-27,Japan,13,5,7,62,34
2021-08-27,Sweden,1,0,0,7,1
2021-08-28,Afghanistan,2,2,2,22,9
2021-08-28,Japan,14,4,5,67,31
2021-08-28,Sweden,1,0,0,7,1
2021-08-29,Afghanistan,2,2,2,22,9
2021-08-29,Japan,14,3,3,71,30
2021-08-29,Sweden,1,0,0,7,1
2021-08-30,Afghanistan,2,3,2,22,8
2021-08-30,Japan,16,4,2,72,27
2021-08-30,Sweden,1,0,0,7,1
2021-08-31,Afghanistan,2,2,2,24,7
2021-08-31,Japan,16,5,2,72,26
2021-08-31,Sweden,1,0,0,7,1
2021-09-01,Afghanistan,2,3,1,23,8
2021-09-01,Japan,17,4,2,73,25
2021-09-01,Sweden,1,0,0,7,1
2021-09-02,Afghanistan,2,3,1,24,7
2021-09-02,Japan,18,5,1,73,24
2021-09-02,Sweden,1,0,0,7,1
2021-09-03,Afghanistan,2,3,1,24,7
2021-09-03,Japan,18,5,1,74,23
2021-09-03,Sweden,1,0,0,7,1
2021-09-04,Afghanistan,2,3,0,24,8
2021-09-04,Japan,18,3,3,74,23
2021-09-04,Sweden,1,0,0,7,1
2021-09-05,Afghanistan,2,3,0,24,8
2021-09-05,Japan,19,4,2,75,21
2021-09-05,Sweden,1,0,0,7,1
2021-09-06,Afghanistan,2,2,1,24,8
2021-09-06,Japan,21,3,3,78,16
2021-09-06,Sweden,1,0,0,7,1
2021-09-07,Afghanistan,2,1,2,24,8
2021-09-07,Japan,21,1,5,80,14
2021-09-07,Sweden,1,0,0,7,1
2021-09-08,Afghanistan,2,1,2,26,6
2021-09-08,Japan,21,1,3,84,12
2021-09-08,Sweden,1,0,0,8,0
2021-09-09,Afghanistan,2,1,2,29,3
2021-09-09,Japan,22,1,3,86,9
2021-09-09,Sweden,1,0,0,8,0
2021-09-10,Afghanistan,2,1,1,30,3
2021-09-10,Japan,22,1,2,89,7
2021-09-10,Sweden,1,0,0,8,0
2021-09-11,Afghanistan,2,0,1,31,3
2021-09-11,Japan,22,1,0,91,7
2021-09-11,Sweden,1,0,0,8,0
2021-09-12,Afghanistan,2,0,1,31,3
2021-09-12,Japan,23,1,0,91,6
2021-09-12,Sweden,1,0,0,8,0
2021-09-13,Afghanistan,2,0,1,31,3
2021-09-13,Japan,23,1,0,92,5
2021-09-13,Sweden,1,0,0,8,0
2021-09-14,Afghanistan,2,0,1,31,3
2021-09-14,Japan,23,1,0,92,5
2021-09-14,Sweden,1,0,0,8,0
2021-09-15,Afghanistan,2,1,0,31,3
2021-09-15,Japan,23,1,0,93,4
2021-09-15,Sweden,1,0,0,8,0
2021-09-16,Afghanistan,2,1,0,31,3
2021-09-16,Japan,24,1,0,93,3
2021-09-16,Sweden,1,0,0,8,0
2021-09-17,Afghanistan,2,1,0,31,3
2021-09-17,Japan,24,1,0,93,3
2021-09-17,Sweden,1,0,0,8,0
2021-09-18,Afghanistan,2,1,0,32,2
2021-09-18,Japan,24,1,0,93,3
2021-09-18,Sweden,1,0,0,8,0
2021-09-19,Afghanistan,2,1,0,32,2
2021-09-19,Japan,24,1,0,94,2
2021-09-19,Sweden,1,0,0,8,0
2021-09-20,Afghanistan,2,1,0,32,2
2021-09-20,Japan,24,1,0,94,2
2021-09-20,Sweden,1,0,0,8,0
2021-09-21,Afghanistan,2,1,0,32,2
2021-09-21,Japan,24,1,0,94,2
2021-09-21,Sweden,1,0,0,8,0
2021-09-22,Afghanistan,2,1,0,32,2
2021-09-22,Japan,24,1,0,95,1
2021-09-22,Sweden,1,0,0,8,0
2021-09-23,Afghanistan,2,1,0,32,2
2021-09-23,Japan,24,1,0,95,1
2021-09-23,Sweden,1,0,0,8,0
2021-09-24,Afghanistan,2,1,0,33,1
2021-09-24,Japan,24,1,0,95,1
2021-09-24,Sweden,1,0,0,8,0
2021-09-25,Afghanistan,2,1,0,33,1
2021-09-25,Japan,24,1,0,96,0
2021-09-25,Sweden,1,0,0,8,0
2021-09-26,Afghanistan,2,1,0,33,1
2021-09-26,Japan,24,1,0,96,0
2021-09-26,Sweden,1,0,0,8,0
2021-09-27,Afghanistan,2,1,0,33,1
2021-09-27,Japan,24,1,0,96,0
2021-09-27,Sweden,1,0,0,8,0
2021-09-28,Afghanistan,2,1,0,33,1
2021-09-28,Japan,24,0,1,96,0
2021-09-28,Sweden,1,0,0,8,0
2021-09-29,Afghanistan,2,1,0,34,0
2021-09-29,Japan,24,0,1,96,0
2021-09-29,Sweden,1,0,0,8,0
2021-09-30,Afghanistan,2,1,0,34,0
2021-09-30,Japan,24,0,1,96,0
2021-09-30,Sweden,1,0,0,8,0
2021-10-01,Afghanistan,2,1,0,34,0
2021-10-01,Japan,24,0,1,96,0
2021-10-01,Sweden,1,0,0,8,0
2021-10-02,Afghanistan,2,1,0,34,0
2021-10-02,Japan,24,0,0,97,0
2021-10-02,Sweden,1,0,0,8,0
2021-10-03,Afghanistan,2,1,0,34,0
2021-10-03,Japan,24,0,0,97,0
2021-10-03,Sweden,1,0,0,8,0
2021-10-04,Afghanistan,2,1,0,34,0
2021-10-04,Japan,24,0,0,97,0
2021-10-04,Sweden,1,0,0,8,0
2021-10-05,Afghanistan,2,1,0,34,0
2021-10-05,Japan,24,0,0,97,0
2021-10-05,Sweden,1,0,0,8,0
2021-10-06,Afghanistan,2,1,0,34,0
2021-10-06,Japan,24,0,0,97,0
2021-10-06,Sweden,1,0,0,8,0
2021-10-07,Afghanistan,2,1,0,34,0
2021-10-07,Japan,24,0,0,97,0
2021-10-07,Sweden,1,0,0,8,0
2021-10-08,Afghanistan,2,1,0,34,0
2021-10-08,Japan,24,0,0,97,0
2021-10-08,Sweden,1,0,0,8,0
2021-10-09,Afghanistan,2,1,0,34,0
2021-10-09,Japan,24,0,0,97,0
2021-10-09,Sweden,1,0,0,8,0
2021-10-10,Afghanistan,2,1,0,34,0
2021-10-10,Japan,24,0,0,97,0
2021-10-10,Sweden,1,0,0,8,0
2021-10-11,Afghanistan,2,1,0,34,0
2021-10-11,Japan,24,0,0,97,0
2021-10-11,Sweden,1,0,0,8,0
2021-10-12,Afghanistan,2,1,0,34,0
2021-10-12,Japan,24,0,0,97,0
2021-10-12,Sweden,1,0,0,8,0
2021-10-13,Afghanistan,2,1,0,34,0
2021-10-13,Japan,24,0,0,97,0
2021-10-13,Sweden,1,0,0,8,0
2021-10-14,Afghanistan,2,1,0,34,0
2021-10-14,Japan,24,0,0,97,0
2021-10-14,Sweden,1,0,0,8,0
2021-10-15,Afghanistan,2,1,0,34,0
2021-10-15,Japan,24,0,0,97,0
2021-10-15,Sweden,1,0,0,8,0
2021-10-16,Afghanistan,2,1,0,34,0
2021-10-16,Japan,24,0,0,97,0
2021-10-16,Sweden,1,0,0,8,0
2021-10-17,Afghanistan,2,1,0,34,0
2021-10-17,Japan,24,0,0,97,0
2021-10-17,Sweden,1,0,0,8,0
2021-10-18,Afghanistan,2,1,0,34,0
2021-10-18,Japan,24,0,0,97,0
2021-10-18,Sweden,1,0,0,8,0
2021-10-19,Afghanistan,2,1,0,34,0
2021-10-19,Japan,24,0,0,97,0
2021-10-19,Sweden,1,0,0,8,0
2021-10-20,Afghanistan,2,1,0,34,0
2021-10-20,Japan,24,0,0,97,0
2021-10-20,Sweden,1,0,0,8,0
2021-10-21,Afghanistan,2,0,1,34,0
2021-10-21,Japan,24,0,0,97,0
2021-10-21,Sweden,1,0,0,8,0
2021-10-22,Afghanistan,2,0,1,34,0
2021-10-22,Japan,24,0,0,97,0
2021-10-22,Sweden,1,0,0,8,0
2021-10-23,Afghanistan,2,0,1,34,0
2021-10-23,Japan,24,0,0,97,0
2021-10-23,Sweden,1,0,0,8,0
2021-10-24,Afghanistan,2,0,1,34,0
2021-10-24,Japan,24,0,0,97,0
2021-10-24,Sweden,1,0,0,8,0
2021-10-25,Afghanistan,2,0,0,34,1
2021-10-25,Japan,24,0,0,97,0
2021-10-25,Sweden,1,0,0,8,0
2021-10-26,Afghanistan,2,0,0,34,1
